,id,Price
3,67325,671.7604788717289
4,189522,536.4097962133452
5,129949,752.4833350897377
8,148555,998.1898477249081
11,11370,639.1
15,44616,747.1614666133522
16,61770,881.4263349991503
22,172383,999.6054501392473
24,153195,984.6158918230226
26,72411,592.0321659363485
31,847,996.9896849856653
32,159240,739.6185328316907
36,33041,955.3874605495181
37,192455,1086.287009734482
38,26024,1016.4796581637999
40,93371,583.2369047619047
45,175668,711.3531303432255
48,185194,722.4403648950813
49,133156,1065.845
55,40094,693.538126046176
56,72207,889.591237656757
58,191146,879.4027010872899
64,86410,479.7092301587301
68,141203,839.822703830008
69,153954,715.8129548448431
71,98845,562.5272256728778
72,179000,661.6318094088269
76,162641,716.3334411583163
79,110838,758.4980375180374
80,190639,621.6968152679206
82,137988,432.21441512191507
85,38208,672.47
87,158397,536.3475214523571
92,71715,647.3565738849709
94,12707,638.3873653362604
98,93567,1144.6830952380953
99,129245,551.8287152726838
100,149197,663.5799350649352
102,2591,624.2708553288621
103,163074,690.1940138581699
105,95302,1001.2958520074696
107,182518,971.5834319991083
112,153025,409.1457142857143
113,106161,820.2967717721243
114,50440,531.1136642306542
115,5660,758.1140043290044
120,59489,558.784874597862
122,53526,800.8466986997616
124,101098,794.698815497245
125,61824,1142.0537802132508
129,52173,818.2282315898734
130,123032,895.7453279644421
137,124056,747.3230391289746
140,192564,857.92
143,51895,815.931591717146
149,34966,528.0855880694384
153,183836,940.54
154,190112,768.5528581642143
156,96232,808.6820561660561
157,33544,521.024
158,139635,546.2978725901282
165,183013,436.6618204798945
167,100139,1014.8400865800867
168,80108,455.838
172,99867,1162.5441545714339
173,52088,385.1016666666667
181,77091,822.3108151460746
182,108762,1077.4683988349238
185,143624,587.8520038246545
193,177309,1100.8865382922668
198,167425,830.9667713038023
201,33172,793.054682558947
206,102437,605.7227692153048
212,171030,948.7643732612939
216,104032,572.0933333333334
220,91688,465.2824630529429
225,146085,769.3588967520269
226,90528,674.9234181382852
230,105014,687.7284722222222
238,68831,947.7206732497237
239,51248,803.0717002415868
240,65325,1049.5014242597124
244,41773,866.7075172413794
247,62208,664.1341228586492
248,43879,844.9817142857142
252,69325,854.7141391167005
259,63935,967.0139274193263
260,49615,665.0779090658968
267,67230,541.0739317934158
271,41478,750.299522828717
274,130622,911.0943914287833
275,143407,874.791719951383
276,68492,487.56336358969713
285,167582,1157.2938209085714
286,170822,772.3035359878082
287,74656,717.4440545118464
288,178517,800.9921322537111
290,81252,667.5733333333334
295,17105,1026.5540149221208
298,63680,912.9151801734181
300,155740,973.0949635872794
301,168869,430.792
304,12064,501.52383571370126
305,130059,885.6086257543489
309,159224,870.732
311,180886,1006.4517099464392
315,74935,820.8601981580326
318,116626,650.1978208253691
322,78613,1061.8916015636992
326,101445,747.4911064311065
330,189374,750.7769230769231
332,150688,1111.24
333,179775,852.7126615288392
335,180285,760.7617083503051
338,157278,889.1579583426142
340,119042,828.9712952380952
344,9321,815.4904091118982
345,60814,547.7770572408723
346,81162,899.99843825129
348,41483,745.6857146464646
349,88163,548.5066666666667
351,85040,530.3227135106723
354,178855,594.0370798827497
359,142101,970.6165478221112
361,108039,1092.6650874719644
368,116769,700.4606483023372
371,21260,501.5079643121984
372,82560,684.3810588235294
375,67406,875.4972048167906
376,88918,1168.972510124703
381,18306,915.9513478279504
383,74166,591.0002946773816
390,101882,539.6595555555556
391,15769,599.5977083938328
395,55241,759.2540413701046
399,155972,801.3548393988491
400,33004,836.0496506911579
410,134574,733.0237765164809
411,136053,783.012
414,1189,1006.8716961698492
415,84535,700.2433333333333
416,86688,580.0748432625796
417,48417,710.2274495306743
421,125826,1029.772523500882
423,192768,1050.2256546416545
424,85701,873.3788445918038
428,75861,870.8385530381556
429,174561,811.0212389443263
433,106806,801.2243637746654
435,20499,818.0697182430828
436,55532,882.8345862312691
446,122188,778.5596958351067
447,98731,422.6743487099676
450,164614,826.3035612958242
456,95995,684.5336666666667
464,142918,778.3817633477635
466,139605,994.1476933066
470,112311,760.3415384615384
471,26744,963.4756877275494
473,137637,688.7191688023806
474,41147,516.8026738531186
475,173045,497.1026959867618
476,10387,832.6173241554113
477,159539,834.3505381291957
481,106080,509.1365462657346
483,143968,788.9571776529973
493,181704,548.9860067905951
494,107558,977.3229747079354
496,41037,963.760619348081
499,177250,670.284
500,31622,912.5249885599508
502,20348,1034.215676409788
504,187899,1169.0179365622323
506,130965,436.1923809523809
509,118140,493.00593247095475
510,852,1065.72036359839
513,166610,809.5638714241177
515,1785,615.2308179054995
516,132448,683.2619957529896
517,138430,668.0727796653796
519,138433,771.6148519555192
520,163661,1176.7637305438777
522,104990,868.7104949011696
524,114219,504.8857512810225
525,18131,588.4132495211293
528,4151,828.6823326078534
531,137261,797.1614167381972
533,116156,541.7124688024596
545,63472,651.7028347985347
546,153454,764.5773532982297
551,172801,776.1283116883117
555,76363,896.5124817259222
557,129598,710.9220833333333
561,53800,630.8480988358386
564,111336,659.7721551075206
565,41753,731.5386992354117
566,105344,775.7206282448201
570,77408,602.6097518130174
571,131028,974.2088982040975
572,55819,997.0728877596973
574,98964,960.2314335724019
576,104676,817.2269914156135
578,140614,737.6857784952352
582,165887,459.24740921748815
583,126270,385.29733333333337
585,170650,733.094445381084
586,29991,747.5821639074268
588,81841,945.8295570157563
594,1420,510.7144761904762
598,84636,522.011088481443
605,71149,827.9785907911302
607,186912,689.3022912963003
608,52750,811.7351452991454
610,59948,460.476769075499
613,135391,735.9469502706581
614,176891,894.675781253669
621,40112,894.4135250120969
625,178900,746.6765907009656
628,36052,928.8634112702072
633,130258,413.36
637,99907,971.04633870784
638,1538,585.834261904762
639,58409,748.3152081904934
640,161252,723.2390019526157
641,31673,935.5498438263884
647,98368,740.22
651,52108,581.1871215291641
652,134953,792.1888888888889
653,50662,852.1414285714286
654,147508,875.5508540176513
658,121425,539.3064916777436
663,29624,604.2743155196486
671,60382,817.2110335201667
674,42115,744.1253918120257
677,31272,1071.3046898035036
682,58389,532.4190016560561
686,114171,1176.4618729761416
687,37067,537.4042254901962
688,62761,851.2118584183688
691,158662,1149.3661111111112
692,68032,713.9001948051949
694,125583,474.2165088664249
695,63602,790.4597016747805
703,73731,906.1558878357553
705,86752,591.3
707,191040,596.496
717,68426,759.1861682242375
724,177253,980.3151901705386
725,42564,546.0493404454159
734,103644,1072.7110573870575
735,106063,462.02
739,108316,1173.564858426481
741,187246,1163.0778074759014
744,188066,542.6076708870764
745,46837,594.26
747,9592,539.8103309523809
750,55402,794.151456715918
752,67918,619.9615227969357
760,111991,647.703153464421
761,177668,660.8526153846155
763,42221,676.5105858808035
764,105130,1041.9262786539712
765,48500,789.8735725759037
766,38122,775.0295227374706
767,69786,704.0662773892774
768,35225,795.0716111111111
769,153689,842.8159704068024
773,136241,518.46
775,142419,642.8773550340524
776,172546,720.1620908221499
777,128248,810.7490400112745
782,95429,685.8592952241187
784,40535,758.7930108838532
788,48469,481.93746031746036
789,121864,569.2550319125319
791,82299,917.1161100320599
793,131730,727.88
